**Конфигурационный файл соответствующих полей в Амо**
Воронка;id воронки;Поле сделки;id поля сделки;Значение поля сделки;id значения поля сделки;Поменять на статус;Поменять на статус (id статуса)
Т1 ВГС;305943;Способ заказа;1969983;Наложка;4702585;Наложки отправлены;12404889
Т1 ВГС;305943;Способ заказа;1969983;Дропшиппинг, за наличку;[4702583,4703589,4715673];Успешно реализовано;142
Доппрепараты;3302728;Способ заказа;1969983;Наложка;4702585;Наложки отправлены;33256075
Доппрепараты;3302728;Способ заказа;1969983;Дропшиппинг, за наличку;[4702583,4703589,4715673];Успешно реализовано;142
Т2;739021;Способ заказа;1969983;Наложка;4702585;Наложки отправлены;39615892
Т2;739021;Способ заказа;1969983;Дропшиппинг, за наличку;[4702583,4703589,4715673];Успешно реализовано;142
Опт;1349443;Способ заказа;1969983;любой;;Успешно реализовано;142
